Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-73210,ALF|Pasta|Pancetta Broccoli,OK - AL FORNO,Red,True,False,False,1299.1070437342305,14.883150287096742,2.340561294375378,221.77,8764.08,341.87,3.92,58.36,2306.34,0.62
R-61688,ALF|Pasta|Spin Mush Lasagna,OK - AL FORNO,Red,True,False,False,915.8042377120406,9.205527729311823,1.1479743168091108,132.54,6475.25,457.9,4.6,66.27,3237.62,0.57
R-64997,BAGEL|Smoked Salmon,OK - SANDWICH KITCHEN,Yellow,False,True,False,566.1972618638847,6.560624874637425,0.9709945221462792,135.18,3567.76,263.35,3.05,62.87,1659.42,0.45
R-71165,BOWL|Tangier|Vegan,OK - VEGETARIAN KITCHEN,Green,False,False,True,328.3655994679523,2.3267241340390625,1.2002119028481006,34.81,906.68,99.5,0.71,10.55,274.75,0.36
R-68235,BRNCH|Benny|Smk 'Salmon'|VEG,OK - SQUARE MEAL,Yellow,False,True,False,356.84481298937243,4.583610666582398,0.6403750797373213,69.71,1685.78,267.3,3.43,52.22,1262.76,0.48
R-48321,BRNCH|Egg's Benny|Blackstone,OK - SQUARE MEAL,Yellow,False,True,False,601.3874594462488,7.713491555693288,1.1618747087749473,101.49,3332.06,314.86,4.04,53.14,1744.53,0.61
R-48357,BRNCH|Eggs Benny|Smk Salmon,OK - SQUARE MEAL,Yellow,False,True,False,356.84481298937243,4.583610666582398,0.6403750797373213,69.71,1685.78,267.3,3.43,52.22,1262.76,0.48
R-48359,BRNCH|Eggs Benny|Spin &Feta,OK - SQUARE MEAL,Yellow,False,True,False,484.9819116257361,5.781959302946035,0.8043472161009577,81.17,3311.73,289.54,3.45,48.46,1977.15,0.48
R-72143,BRNCH|Ham|EggBenny,FT GRILL BREAKFAST,Yellow,False,True,False,297.2555430817361,3.681040158946035,0.5591890481009577,47.75,1629.32,251.91,3.12,40.47,1380.78,0.47
R-72142,BRNCH|Spinach|Benny,GV - GRILL BREAKFAST,Yellow,False,True,False,307.4267930817361,3.8516401589460343,0.5843790481009578,49.28,1690.39,208.42,2.61,33.41,1146.03,0.4
R-57035,BRUNCH|Quiche|Ham&Cheese,OK - SQUARE MEAL,Red,True,False,False,1275.1145,14.863200000000004,2.3017299999999823,201.41,7536.13,496.15,5.78,78.37,2932.35,0.9
R-68142,BRUNCH|Quiche|Smoked 'Salmon',OK - SQUARE MEAL,Yellow,False,True,False,684.1696796825397,7.598066830435879,1.102812814310898,111.92,3026.38,275.87,3.06,45.13,1220.31,0.44
R-57034,BRUNCH|Quiche|Smoked Salmon,OK - SQUARE MEAL,Yellow,False,True,False,765.0633463492064,8.652566830435878,1.1719794809775643,135.35,3204.88,280.24,3.17,49.58,1173.95,0.43
R-51196,BRUNCH|Quiche|Spinach & Feta,OK - SQUARE MEAL,Red,True,False,False,885.5691068856048,9.165464914727067,1.2723827376825465,130.9,6239.55,343.24,3.55,50.74,2418.43,0.49
R-26809,BRUNCH|Quiche|Western,OK - SQUARE MEAL,Red,True,False,False,730.0146210431108,8.024821616291883,1.2816540225396411,108.14,4275.01,360.5,3.96,53.4,2111.12,0.63
R-31947,CEREAL|Hot|Oatmeal,OK - SOUP ,Green,False,False,True,371.1266961933333,1.064646,1.1063938843333334,106.09,3858.01,77.62,0.22,22.19,806.94,0.23
R-72254,Congee|Salmon,OK - SOUP ,Green,False,False,True,281.50403444327327,3.985950107906351,0.3979113839613456,91.0,519.35,74.08,1.05,23.95,136.67,0.1
R-37170,CST|Beef ,OK - CUSTOM KITCHEN,Red,True,False,False,3993.9230151150978,31.654273479116352,11.86700050712692,235.37,6885.47,672.38,5.33,39.62,1159.17,2.0
R-37171,CST|Chicken,OK - CUSTOM KITCHEN,Green,False,False,True,948.8271928829548,16.058046852840846,2.34753609386161,132.16,1709.68,159.74,2.7,22.25,287.82,0.4
R-51828,CST|Fried Rice Friday|Meat,OK - CUSTOM KITCHEN,Yellow,False,True,False,1997.8430918546217,17.683204570892986,3.0242914686104805,382.64,6343.93,294.23,2.6,56.35,934.3,0.45
R-51276,CST|Fried Rice Friday|No Meat,OK - CUSTOM KITCHEN,Green,False,False,True,970.1933350562324,8.086285679974235,1.9633871454562783,260.25,2524.17,145.02,1.21,38.9,377.3,0.29
R-37172,CST|Salmon,OK - CUSTOM KITCHEN,Green,False,False,True,1024.7917651150976,11.117148479116356,1.931025507126916,260.74,2575.63,171.08,1.86,43.53,429.99,0.32
R-61698,CST|SAUCE|Curry Red,OK - CUSTOM KITCHEN,Green,False,False,True,233.56843764,0.0600904439999999,0.0812872007999999,0.27,9.15,389.28,0.1,0.45,15.25,0.14
R-61696,CST|SAUCE|Gochujang,OK - CUSTOM KITCHEN,Green,False,False,True,28.865472000000004,0.2851368,0.0809265599999999,1.06,57.27,48.11,0.48,1.77,95.45,0.13
R-51942,CST|SAUCE|Green Onion Ginger,OK - CUSTOM KITCHEN,Green,False,False,True,24.067170705240713,0.2141107854772857,0.0689519428412428,0.43,20.42,40.11,0.36,0.72,34.03,0.11
R-61692,CST|SAUCE|Green Thai Curry,OK - CUSTOM KITCHEN,Green,False,False,True,223.36757639999996,0.0961511,0.0393217599999998,0.67,26.82,372.28,0.16,1.12,44.7,0.07
R-59573,CST|SAUCE|Kung Pao,OK - CUSTOM KITCHEN,Green,False,False,True,51.03533543488095,0.1555865358690476,0.0814998976380949,0.85,39.35,85.06,0.26,1.42,65.58,0.14
R-58390,CST|SAUCE|Lemon Sesame,OK - CUSTOM KITCHEN,Green,False,False,True,35.138521263860724,0.1583617526497863,0.0659951402776244,3.36,199.78,58.56,0.26,5.6,332.97,0.11
R-61695,CST|SAUCE|Spicy Korean BBQ,OK - CUSTOM KITCHEN,Green,False,False,True,24.418442099999996,0.08144757,0.0584403239999999,0.37,14.44,40.7,0.14,0.62,24.07,0.1
R-55488,CST|SAUCE|Sweet Chili,OK - CUSTOM KITCHEN,Green,False,False,True,41.0936808,0.15406968,0.060342576,1.24,33.35,68.49,0.26,2.07,55.58,0.1
R-61694,CST|SAUCE|Tamarind,OK - CUSTOM KITCHEN,Green,False,False,True,60.32351999999999,0.1688745,0.0961434,0.57,13.5,100.54,0.28,0.95,22.5,0.16
R-45371,CST|SAUCE|Teriyaki,OK - CUSTOM KITCHEN,Green,False,False,True,23.72268812444444,0.1290209335555555,0.0508075473777777,0.48,16.84,39.54,0.22,0.8,28.07,0.08
R-61693,CST|SAUCE|Thai Basil Lime,OK - CUSTOM KITCHEN,Green,False,False,True,56.31191228070174,0.2613771929824561,0.0797350877192982,2.07,75.96,93.85,0.44,3.45,126.6,0.13
R-61697,CST|SAUCE|Thai Cashew,OK - CUSTOM KITCHEN,Red,True,False,False,162.1261207273864,0.3339287339318181,0.1625133217068181,40.15,2836.1,270.21,0.56,66.92,4726.83,0.27
R-57402,CST|SAUCE|Yellow Curry,OK - CUSTOM KITCHEN,Green,False,False,True,195.33711785454545,0.0509676763636363,0.0115825461818181,0.26,8.59,325.56,0.08,0.43,14.32,0.02
R-28301,CST|Veg Only,OK - CUSTOM KITCHEN,Green,False,False,True,495.6880151150976,3.6477734791163576,1.197900507126916,92.81,1674.27,96.44,0.71,18.06,325.73,0.23
R-37173,CST|VEGETARIAN,OK - CUSTOM KITCHEN,Green,False,False,True,502.0090382266436,3.0971510601137866,1.0117723602461028,77.8,1173.22,105.91,0.65,16.41,247.51,0.21
R-40736,DIM SUM|Beef Balls (3),OK - DIM SUM,Red,True,False,False,2293.134480000004,18.33702000000003,0.0,101.38,3647.5,2939.92,23.51,129.97,4676.28,0.0
R-52602,DIM SUM|Bun|BBQ Pork (1),OK - DIM SUM,Red,True,False,False,482.54500000000166,6.273000000000022,0.0,94.75,2850.24,567.7,7.38,111.47,3353.22,0.0
R-52899,DIM SUM|Bun|Chicken (1),OK - DIM SUM,Green,False,False,True,168.8843750000006,3.278875000000012,0.0,27.41,614.47,198.69,3.86,32.25,722.91,0.0
R-55834,DIM SUM|Bun|Vegetable (1),OK - DIM SUM,Green,False,False,True,86.0795000000003,0.9647500000000034,0.0,21.27,669.85,101.27,1.14,25.02,788.06,0.0
R-58265,DIM SUM|Chicken Gyoza (3),OK - DIM SUM,Green,False,False,True,173.73304617900027,3.600133614000006,0.0232270269,28.98,698.08,123.17,2.55,20.55,494.9,0.02
R-44499,DIM SUM|Egg Roll Veg (1),OK - DIM SUM,Green,False,False,True,64.8128,0.7263999999999999,0.0,16.02,504.36,101.27,1.13,25.03,788.06,0.0
R-58264,DIM SUM|Pork Gyoza (3),OK - DIM SUM,Yellow,False,True,False,285.76598367900044,3.9301336140000065,0.0232270269,58.68,1809.96,202.59,2.79,41.6,1283.15,0.02
